Year,Bread
01-01-1980,0.501
02-01-1980,0.507
03-01-1980,0.502
04-01-1980,0.507
05-01-1980,0.504
06-01-1980,0.503
07-01-1980,0.511
08-01-1980,0.507
09-01-1980,0.511
10-01-1980,0.514
11-01-1980,0.519
12-01-1980,0.519
01-01-1981,0.531
02-01-1981,0.533
03-01-1981,0.538
04-01-1981,0.519
05-01-1981,0.525
06-01-1981,0.523
07-01-1981,0.521
08-01-1981,0.519
09-01-1981,0.524
10-01-1981,0.521
11-01-1981,0.527
12-01-1981,0.521
01-01-1982,0.537
02-01-1982,0.534
03-01-1982,0.526
04-01-1982,0.526
05-01-1982,0.529
06-01-1982,0.525
07-01-1982,0.534
08-01-1982,0.534
09-01-1982,0.536
10-01-1982,0.534
11-01-1982,0.534
12-01-1982,0.537
01-01-1983,0.541
02-01-1983,0.544
03-01-1983,0.544
04-01-1983,0.538
05-01-1983,0.542
06-01-1983,0.542
07-01-1983,0.544
08-01-1983,0.539
09-01-1983,0.536
10-01-1983,0.535
11-01-1983,0.547
12-01-1983,0.547
01-01-1984,0.543
02-01-1984,0.541
03-01-1984,0.542
04-01-1984,0.536
05-01-1984,0.541
06-01-1984,0.542
07-01-1984,0.541
08-01-1984,0.543
09-01-1984,0.539
10-01-1984,0.540
11-01-1984,0.543
12-01-1984,0.544
01-01-1985,0.551
02-01-1985,0.544
03-01-1985,0.544
04-01-1985,0.544
05-01-1985,0.542
06-01-1985,0.546
07-01-1985,0.556
08-01-1985,0.553
09-01-1985,0.561
10-01-1985,0.566
11-01-1985,0.564
12-01-1985,0.568
01-01-1986,0.566
02-01-1986,0.563
03-01-1986,0.560
04-01-1986,0.561
05-01-1986,0.562
06-01-1986,0.569
07-01-1986,0.564
08-01-1986,0.570
09-01-1986,0.566
10-01-1986,0.565
11-01-1986,0.564
12-01-1986,0.566
01-01-1987,0.544
02-01-1987,0.539
03-01-1987,0.541
04-01-1987,0.542
05-01-1987,0.540
06-01-1987,0.533
07-01-1987,0.544
08-01-1987,0.546
09-01-1987,0.551
10-01-1987,0.559
11-01-1987,0.559
