Year,Chicken
01-01-1980,0.699
02-01-1980,0.673
03-01-1980,0.655
04-01-1980,0.638
05-01-1980,0.628
06-01-1980,0.640
07-01-1980,0.710
08-01-1980,0.751
09-01-1980,0.791
10-01-1980,0.792
11-01-1980,0.766
12-01-1980,0.760
01-01-1981,0.749
02-01-1981,0.759
03-01-1981,0.755
04-01-1981,0.734
05-01-1981,0.706
06-01-1981,0.717
07-01-1981,0.767
08-01-1981,0.752
09-01-1981,0.728
10-01-1981,0.712
11-01-1981,0.702
12-01-1981,0.700
01-01-1982,0.712
02-01-1982,0.726
03-01-1982,0.715
04-01-1982,0.712
05-01-1982,0.720
06-01-1982,0.732
07-01-1982,0.740
08-01-1982,0.717
09-01-1982,0.713
10-01-1982,0.700
11-01-1982,0.694
12-01-1982,0.682
01-01-1983,0.689
02-01-1983,0.699
03-01-1983,0.698
04-01-1983,0.676
05-01-1983,0.687
06-01-1983,0.699
07-01-1983,0.724
08-01-1983,0.740
09-01-1983,0.769
10-01-1983,0.737
11-01-1983,0.766
12-01-1983,0.812
01-01-1984,0.839
02-01-1984,0.867
03-01-1984,0.848
04-01-1984,0.844
05-01-1984,0.811
06-01-1984,0.817
07-01-1984,0.829
08-01-1984,0.788
09-01-1984,0.790
10-01-1984,0.764
11-01-1984,0.771
12-01-1984,0.753
01-01-1985,0.773
02-01-1985,0.772
03-01-1985,0.769
04-01-1985,0.764
05-01-1985,0.745
06-01-1985,0.761
07-01-1985,0.753
08-01-1985,0.757
09-01-1985,0.762
10-01-1985,0.749
11-01-1985,0.778
12-01-1985,0.776
01-01-1986,0.766
02-01-1986,0.771
03-01-1986,0.767
04-01-1986,0.752
05-01-1986,0.769
06-01-1986,0.795
07-01-1986,0.889
08-01-1986,0.958
09-01-1986,0.910
10-01-1986,0.900
11-01-1986,0.878
12-01-1986,0.865
01-01-1987,0.821
02-01-1987,0.832
03-01-1987,0.804
04-01-1987,0.792
05-01-1987,0.782
06-01-1987,0.771
07-01-1987,0.755
08-01-1987,0.785
09-01-1987,0.793
10-01-1987,0.791
11-01-1987,0.756
12-01-1987,0.736
01-01-1988,0.740
02-01-1988,0.745
03-01-1988,0.753
04-01-1988,0.760
05-01-1988,0.796
06-01-1988,0.868
07-01-1988,0.937
08-01-1988,0.961
09-01-1988,0.975
10-01-1988,0.932
11-01-1988,0.892
12-01-1988,0.885
01-01-1989,0.905
02-01-1989,0.899
03-01-1989,0.913
04-01-1989,0.932
05-01-1989,0.961
06-01-1989,0.982
07-01-1989,0.964
08-01-1989,0.954
09-01-1989,0.942
10-01-1989,0.910
11-01-1989,0.879
12-01-1989,0.883
01-01-1990,0.882
02-01-1990,0.896
03-01-1990,0.928
04-01-1990,0.897
05-01-1990,0.902
06-01-1990,0.928
07-01-1990,0.917
08-01-1990,0.912
09-01-1990,0.907
10-01-1990,0.883
11-01-1990,0.880
12-01-1990,0.858
01-01-1991,0.886
02-01-1991,0.903
03-01-1991,0.899
04-01-1991,0.885
05-01-1991,0.883
06-01-1991,0.878
07-01-1991,0.888
08-01-1991,0.869
09-01-1991,0.874
10-01-1991,0.878
11-01-1991,0.857
12-01-1991,0.864
01-01-1992,0.878
02-01-1992,0.849
03-01-1992,0.859
04-01-1992,0.861
05-01-1992,0.854
06-01-1992,0.861
07-01-1992,0.878
08-01-1992,0.882
09-01-1992,0.881
10-01-1992,0.865
11-01-1992,0.885
12-01-1992,0.879
01-01-1993,0.875
02-01-1993,0.871
03-01-1993,0.879
04-01-1993,0.874
05-01-1993,0.888
06-01-1993,0.891
07-01-1993,0.890
08-01-1993,0.896
09-01-1993,0.897
10-01-1993,0.893
11-01-1993,0.918
12-01-1993,0.910
01-01-1994,0.899
02-01-1994,0.888
03-01-1994,0.891
04-01-1994,0.899
05-01-1994,0.902
06-01-1994,0.918
07-01-1994,0.920
08-01-1994,0.905
09-01-1994,0.901
10-01-1994,0.889
11-01-1994,0.904
12-01-1994,0.895
01-01-1995,0.897
02-01-1995,0.893
03-01-1995,0.917
04-01-1995,0.911
05-01-1995,0.891
06-01-1995,0.908
07-01-1995,0.919
08-01-1995,0.908
09-01-1995,0.939
10-01-1995,0.930
11-01-1995,0.948
12-01-1995,0.939
01-01-1996,0.941
02-01-1996,0.940
03-01-1996,0.933
04-01-1996,0.947
05-01-1996,0.949
06-01-1996,0.968
07-01-1996,0.972
08-01-1996,0.990
09-01-1996,1.006
10-01-1996,1.021
11-01-1996,1.003
12-01-1996,1.002
01-01-1997,1.016
02-01-1997,1.008
03-01-1997,1.009
04-01-1997,1.002
05-01-1997,1.007
06-01-1997,0.993
07-01-1997,1.005
08-01-1997,0.988
09-01-1997,0.992
10-01-1997,0.984
11-01-1997,1.018
12-01-1997,1.001
01-01-1998,1.022
02-01-1998,1.007
03-01-1998,1.032
04-01-1998,1.029
05-01-1998,1.032
06-01-1998,1.016
07-01-1998,1.033
08-01-1998,1.059
09-01-1998,1.074
10-01-1998,1.076
11-01-1998,1.084
12-01-1998,1.060
01-01-1999,1.072
02-01-1999,1.064
03-01-1999,1.057
04-01-1999,1.057
05-01-1999,1.026
06-01-1999,1.041
07-01-1999,1.045
08-01-1999,1.043
09-01-1999,1.080
10-01-1999,1.055
11-01-1999,1.078
12-01-1999,1.053
01-01-2000,1.059
02-01-2000,1.046
03-01-2000,1.064
04-01-2000,1.069
05-01-2000,1.052
06-01-2000,1.069
07-01-2000,1.089
08-01-2000,1.086
09-01-2000,1.087
10-01-2000,1.090
11-01-2000,1.065
12-01-2000,1.078
01-01-2001,1.091
02-01-2001,1.090
03-01-2001,1.103
04-01-2001,1.101
05-01-2001,1.095
06-01-2001,1.106
07-01-2001,1.102
08-01-2001,1.110
09-01-2001,1.107
10-01-2001,1.115
11-01-2001,1.133
12-01-2001,1.109
01-01-2002,1.091
02-01-2002,1.111
03-01-2002,1.110
04-01-2002,1.110
05-01-2002,1.094
06-01-2002,1.066
07-01-2002,1.077
08-01-2002,1.035
09-01-2002,1.074
10-01-2002,1.027
11-01-2002,1.044
12-01-2002,1.048
01-01-2003,1.004
02-01-2003,1.031
03-01-2003,1.049
04-01-2003,1.053
05-01-2003,1.031
06-01-2003,1.033
07-01-2003,1.027
08-01-2003,1.023
09-01-2003,1.022
10-01-2003,1.022
11-01-2003,1.068
12-01-2003,1.050
01-01-2004,1.062
02-01-2004,1.060
03-01-2004,1.100
04-01-2004,1.120
05-01-2004,1.039
06-01-2004,1.060
07-01-2004,1.077
08-01-2004,1.092
09-01-2004,1.078
10-01-2004,1.078
11-01-2004,1.039
12-01-2004,1.030
01-01-2005,1.026
02-01-2005,1.038
03-01-2005,1.061
04-01-2005,1.070
05-01-2005,1.052
06-01-2005,1.075
07-01-2005,1.067
08-01-2005,1.042
09-01-2005,1.056
10-01-2005,1.062
11-01-2005,1.059
12-01-2005,1.061
01-01-2006,1.062
02-01-2006,1.045
03-01-2006,1.047
04-01-2006,1.054
05-01-2006,1.034
