Year,Diesel
01-01-1998,1.25
02-01-1998,1.220
03-01-1998,1.192
04-01-1998,1.184
05-01-1998,1.190
06-01-1998,1.185
07-01-1998,1.168
08-01-1998,1.154
09-01-1998,1.138
10-01-1998,1.148
11-01-1998,1.142
12-01-1998,1.112
01-01-1999,1.102
02-01-1999,1.094
03-01-1999,1.104
04-01-1999,1.178
05-01-1999,1.174
06-01-1999,1.178
07-01-1999,1.213
08-01-1999,1.241
09-01-1999,1.280
10-01-1999,1.305
11-01-1999,1.326
12-01-1999,1.357
01-01-2000,1.392
02-01-2000,1.564
03-01-2000,1.587
04-01-2000,1.526
05-01-2000,1.512
06-01-2000,1.527
07-01-2000,1.527
08-01-2000,1.524
09-01-2000,1.683
10-01-2000,1.698
11-01-2000,1.696
12-01-2000,1.689
01-01-2001,1.643
02-01-2001,1.633
03-01-2001,1.558
04-01-2001,1.555
05-01-2001,1.594
06-01-2001,1.598
07-01-2001,1.522
08-01-2001,1.497
09-01-2001,1.573
10-01-2001,1.497
11-01-2001,1.411
12-01-2001,1.327
01-01-2002,1.299
02-01-2002,1.292
03-01-2002,1.330
04-01-2002,1.408
05-01-2002,1.437
06-01-2002,1.423
07-01-2002,1.421
08-01-2002,1.431
09-01-2002,1.482
10-01-2002,1.531
11-01-2002,1.535
12-01-2002,1.518
01-01-2003,1.574
02-01-2003,1.730
03-01-2003,1.873
04-01-2003,1.759
05-01-2003,1.635
06-01-2003,1.591
07-01-2003,1.581
08-01-2003,1.619
09-01-2003,1.608
10-01-2003,1.587
11-01-2003,1.594
12-01-2003,1.593
01-01-2004,1.655
02-01-2004,1.705
03-01-2004,1.750
04-01-2004,1.823
05-01-2004,1.896
06-01-2004,1.864
07-01-2004,1.854
08-01-2004,1.932
09-01-2004,1.990
10-01-2004,2.207
11-01-2004,2.245
12-01-2004,2.129
01-01-2005,2.058
02-01-2005,2.116
03-01-2005,2.308
04-01-2005,2.426
05-01-2005,2.349
06-01-2005,2.373
07-01-2005,2.482
08-01-2005,2.615
09-01-2005,2.944
10-01-2005,3.193
11-01-2005,2.794
12-01-2005,2.582
01-01-2006,2.615
02-01-2006,2.603
03-01-2006,2.672
04-01-2006,2.834
05-01-2006,3.003
06-01-2006,2.995
07-01-2006,3.007
08-01-2006,3.097
09-01-2006,2.914
10-01-2006,2.646
11-01-2006,2.652
12-01-2006,2.727
01-01-2007,2.645
02-01-2007,2.612
03-01-2007,2.744
04-01-2007,2.916
05-01-2007,2.912
06-01-2007,2.903
07-01-2007,2.934
08-01-2007,2.934
09-01-2007,2.994
10-01-2007,3.133
11-01-2007,3.422
12-01-2007,3.423
01-01-2008,3.413
02-01-2008,3.450
03-01-2008,3.918
04-01-2008,4.131
05-01-2008,4.445
06-01-2008,4.788
07-01-2008,4.794
08-01-2008,4.470
09-01-2008,4.177
10-01-2008,3.802
11-01-2008,3.006
12-01-2008,2.585
01-01-2009,2.414
02-01-2009,2.341
03-01-2009,2.179
04-01-2009,2.276
05-01-2009,2.299
06-01-2009,2.567
07-01-2009,2.584
08-01-2009,2.670
09-01-2009,2.666
10-01-2009,2.707
11-01-2009,2.833
12-01-2009,2.811
01-01-2010,2.901
02-01-2010,2.846
03-01-2010,2.928
04-01-2010,3.050
05-01-2010,3.097
06-01-2010,2.988
07-01-2010,2.952
08-01-2010,2.970
09-01-2010,2.969
10-01-2010,3.086
11-01-2010,3.153
12-01-2010,3.269
01-01-2011,3.373
02-01-2011,3.544
03-01-2011,3.929
04-01-2011,4.114
05-01-2011,4.119
06-01-2011,3.981
07-01-2011,3.953
08-01-2011,3.912
09-01-2011,3.900
10-01-2011,3.859
11-01-2011,3.957
12-01-2011,3.874
01-01-2012,3.884
02-01-2012,3.981
03-01-2012,4.166
04-01-2012,4.169
05-01-2012,4.053
06-01-2012,3.808
07-01-2012,3.748
08-01-2012,3.956
09-01-2012,4.128
10-01-2012,4.124
11-01-2012,4.022
12-01-2012,3.950
01-01-2013,3.922
02-01-2013,4.092
03-01-2013,4.085
04-01-2013,3.959
05-01-2013,3.886
06-01-2013,3.861
07-01-2013,3.863
08-01-2013,3.897
09-01-2013,3.955
10-01-2013,3.888
11-01-2013,3.833
12-01-2013,3.852
01-01-2014,3.872
02-01-2014,3.947
03-01-2014,3.993
04-01-2014,3.969
05-01-2014,3.932
06-01-2014,3.919
07-01-2014,3.896
08-01-2014,3.840
09-01-2014,3.801
10-01-2014,3.676
11-01-2014,3.615
12-01-2014,3.406
01-01-2015,2.964
02-01-2015,2.875
03-01-2015,2.933
04-01-2015,2.840
05-01-2015,2.906
06-01-2015,2.910
07-01-2015,2.850
08-01-2015,2.692
09-01-2015,2.566
10-01-2015,2.532
11-01-2015,2.493
12-01-2015,2.378
01-01-2016,2.193
02-01-2016,2.040
03-01-2016,2.088
04-01-2016,2.158
05-01-2016,2.274
06-01-2016,2.384
07-01-2016,2.361
08-01-2016,2.333
09-01-2016,2.370
10-01-2016,2.421
11-01-2016,2.421
12-01-2016,2.456
01-01-2017,2.547
02-01-2017,2.537
03-01-2017,2.541
04-01-2017,2.548
05-01-2017,2.537
06-01-2017,2.516
07-01-2017,2.477
08-01-2017,2.544
09-01-2017,2.742
10-01-2017,2.761
11-01-2017,2.873
12-01-2017,2.886
01-01-2018,2.965
02-01-2018,3.007
03-01-2018,2.973
04-01-2018,3.051
05-01-2018,3.197
06-01-2018,3.245
07-01-2018,3.226
08-01-2018,3.211
09-01-2018,3.243
10-01-2018,3.335
11-01-2018,3.292
12-01-2018,3.155
01-01-2019,3.015
02-01-2019,2.985
03-01-2019,3.063
04-01-2019,3.129
05-01-2019,3.189
06-01-2019,3.104
07-01-2019,3.078
08-01-2019,3.030
09-01-2019,3.033
10-01-2019,3.086
11-01-2019,3.090
12-01-2019,3.089
01-01-2020,3.078
02-01-2020,2.980
03-01-2020,2.818
04-01-2020,2.605
05-01-2020,2.515
06-01-2020,2.508
07-01-2020,2.514
08-01-2020,2.503
09-01-2020,2.496
10-01-2020,2.460
11-01-2020,2.441
12-01-2020,2.543
01-01-2021,2.661
02-01-2021,2.802
03-01-2021,3.076
04-01-2021,3.126
05-01-2021,3.200
06-01-2021,3.272
07-01-2021,3.324
08-01-2021,3.353
09-01-2021,3.366
10-01-2021,3.550
11-01-2021,3.695
12-01-2021,3.661
01-01-2022,3.675
02-01-2022,3.899
03-01-2022,4.818
04-01-2022,5.119
05-01-2022,5.517
