Year,Fuel
01-01-1979,0.555
02-01-1979,0.577
03-01-1979,0.605
04-01-1979,0.627
05-01-1979,0.656
06-01-1979,0.709
07-01-1979,0.752
08-01-1979,0.800
09-01-1979,0.848
10-01-1979,0.856
11-01-1979,0.867
12-01-1979,0.883
01-01-1980,0.929
02-01-1980,0.977
03-01-1980,1.006
04-01-1980,1.010
05-01-1980,1.011
06-01-1980,1.017
07-01-1980,1.022
08-01-1980,1.021
09-01-1980,1.019
10-01-1980,1.013
11-01-1980,1.025
12-01-1980,1.066
01-01-1981,1.150
02-01-1981,1.260
03-01-1981,1.290
04-01-1981,1.280
05-01-1981,1.267
06-01-1981,1.259
07-01-1981,1.251
08-01-1981,1.246
09-01-1981,1.239
10-01-1981,1.232
11-01-1981,1.235
12-01-1981,1.247
01-01-1982,1.254
02-01-1982,1.248
03-01-1982,1.208
04-01-1982,1.162
05-01-1982,1.171
06-01-1982,1.194
07-01-1982,1.200
08-01-1982,1.195
09-01-1982,1.191
10-01-1982,1.214
11-01-1982,1.237
12-01-1982,1.229
01-01-1983,1.194
02-01-1983,1.160
03-01-1983,1.101
04-01-1983,1.070
05-01-1983,1.089
06-01-1983,1.087
07-01-1983,1.083
08-01-1983,1.083
09-01-1983,1.087
10-01-1983,1.089
11-01-1983,1.086
12-01-1983,1.085
01-01-1984,1.122
02-01-1984,1.220
03-01-1984,1.158
04-01-1984,1.137
05-01-1984,1.134
06-01-1984,1.127
07-01-1984,1.109
08-01-1984,1.088
09-01-1984,1.081
10-01-1984,1.091
11-01-1984,1.089
12-01-1984,1.085
01-01-1985,1.078
02-01-1985,1.085
03-01-1985,1.081
04-01-1985,1.087
05-01-1985,1.082
06-01-1985,1.063
07-01-1985,1.040
08-01-1985,1.024
09-01-1985,
10-01-1985,1.068
11-01-1985,1.119
12-01-1985,1.143
01-01-1986,1.126
02-01-1986,1.011
03-01-1986,0.937
04-01-1986,0.875
05-01-1986,0.830
06-01-1986,0.806
07-01-1986,0.751
08-01-1986,0.726
09-01-1986,0.736
10-01-1986,0.733
11-01-1986,0.733
12-01-1986,0.750
01-01-1987,0.817
02-01-1987,0.851
03-01-1987,0.843
04-01-1987,0.843
05-01-1987,0.839
06-01-1987,0.841
07-01-1987,0.842
08-01-1987,0.850
09-01-1987,0.852
10-01-1987,0.863
11-01-1987,0.888
12-01-1987,0.889
01-01-1988,0.890
02-01-1988,0.888
03-01-1988,0.881
04-01-1988,0.876
05-01-1988,0.874
06-01-1988,0.862
07-01-1988,0.832
08-01-1988,0.822
09-01-1988,0.817
10-01-1988,0.790
11-01-1988,0.798
12-01-1988,0.826
01-01-1989,0.883
02-01-1989,0.888
03-01-1989,0.891
04-01-1989,0.904
05-01-1989,0.887
06-01-1989,0.867
07-01-1989,0.857
08-01-1989,0.846
09-01-1989,0.850
10-01-1989,0.887
11-01-1989,0.913
12-01-1989,0.978
01-01-1990,1.259
02-01-1990,1.023
03-01-1990,0.987
04-01-1990,0.968
05-01-1990,0.952
06-01-1990,0.909
07-01-1990,0.880
08-01-1990,0.998
09-01-1990,1.165
10-01-1990,1.330
11-01-1990,1.305
12-01-1990,1.273
01-01-1991,1.235
02-01-1991,1.170
03-01-1991,1.086
04-01-1991,1.016
05-01-1991,0.968
06-01-1991,0.945
07-01-1991,0.926
08-01-1991,0.927
09-01-1991,0.942
10-01-1991,0.966
11-01-1991,1.020
12-01-1991,1.017
01-01-1992,0.985
02-01-1992,0.975
03-01-1992,0.961
04-01-1992,0.951
05-01-1992,0.952
06-01-1992,0.954
07-01-1992,0.947
08-01-1992,0.943
09-01-1992,0.945
10-01-1992,0.969
11-01-1992,0.978
12-01-1992,0.971
01-01-1993,0.969
02-01-1993,0.973
03-01-1993,0.977
04-01-1993,0.977
05-01-1993,0.963
06-01-1993,0.950
07-01-1993,0.937
08-01-1993,0.906
09-01-1993,0.907
10-01-1993,0.924
11-01-1993,0.927
12-01-1993,0.914
01-01-1994,0.919
02-01-1994,0.978
03-01-1994,0.966
04-01-1994,0.935
05-01-1994,0.919
06-01-1994,0.906
07-01-1994,0.898
08-01-1994,0.894
09-01-1994,0.894
10-01-1994,0.890
11-01-1994,0.894
12-01-1994,0.900
01-01-1995,0.913
02-01-1995,0.915
03-01-1995,0.906
04-01-1995,0.900
05-01-1995,0.901
06-01-1995,0.895
07-01-1995,0.885
08-01-1995,0.879
09-01-1995,0.870
10-01-1995,0.873
11-01-1995,0.879
12-01-1995,0.905
01-01-1996,1.007
02-01-1996,1.001
03-01-1996,1.020
04-01-1996,1.065
05-01-1996,1.038
06-01-1996,0.969
07-01-1996,0.935
08-01-1996,0.934
09-01-1996,0.980
10-01-1996,1.063
11-01-1996,1.097
12-01-1996,1.121
01-01-1997,1.136
02-01-1997,1.127
03-01-1997,1.079
04-01-1997,1.046
05-01-1997,1.031
06-01-1997,1.001
07-01-1997,0.957
08-01-1997,0.945
09-01-1997,0.945
10-01-1997,0.956
11-01-1997,0.970
12-01-1997,0.979
01-01-1998,0.966
02-01-1998,0.948
03-01-1998,0.933
04-01-1998,0.915
05-01-1998,0.903
06-01-1998,0.874
07-01-1998,0.853
08-01-1998,0.838
09-01-1998,0.827
10-01-1998,0.834
11-01-1998,0.841
12-01-1998,0.827
01-01-1999,0.834
02-01-1999,0.828
03-01-1999,0.828
04-01-1999,0.853
05-01-1999,0.852
06-01-1999,0.845
07-01-1999,0.857
08-01-1999,0.877
09-01-1999,0.939
10-01-1999,0.976
11-01-1999,1.018
12-01-1999,1.088
01-01-2000,1.189
02-01-2000,1.614
03-01-2000,1.359
04-01-2000,1.286
05-01-2000,1.263
06-01-2000,1.249
07-01-2000,1.250
08-01-2000,1.246
09-01-2000,1.407
10-01-2000,1.453
11-01-2000,1.477
12-01-2000,1.528
01-01-2001,1.509
02-01-2001,1.463
03-01-2001,1.394
04-01-2001,1.367
05-01-2001,1.343
06-01-2001,1.322
07-01-2001,1.257
08-01-2001,1.238
09-01-2001,1.285
10-01-2001,1.227
11-01-2001,1.193
12-01-2001,1.117
01-01-2002,1.123
02-01-2002,1.112
03-01-2002,1.119
04-01-2002,1.158
05-01-2002,1.163
06-01-2002,1.136
07-01-2002,1.127
08-01-2002,1.135
09-01-2002,1.174
10-01-2002,1.203
11-01-2002,1.221
12-01-2002,1.267
01-01-2003,1.396
02-01-2003,1.641
03-01-2003,1.766
04-01-2003,1.491
05-01-2003,1.372
06-01-2003,1.305
07-01-2003,1.279
08-01-2003,1.283
09-01-2003,1.284
10-01-2003,1.297
11-01-2003,1.331
12-01-2003,1.360
01-01-2004,1.508
02-01-2004,1.558
03-01-2004,1.541
04-01-2004,1.519
05-01-2004,1.533
06-01-2004,1.537
07-01-2004,1.536
08-01-2004,1.607
09-01-2004,1.671
10-01-2004,1.882
11-01-2004,1.958
12-01-2004,1.895
01-01-2005,1.859
02-01-2005,1.962
03-01-2005,2.078
04-01-2005,2.120
05-01-2005,2.036
06-01-2005,2.059
07-01-2005,2.173
08-01-2005,2.276
09-01-2005,2.593
10-01-2005,2.626
11-01-2005,2.458
12-01-2005,2.407
01-01-2006,2.418
02-01-2006,2.423
03-01-2006,2.429
04-01-2006,2.526
05-01-2006,2.572
06-01-2006,2.566
07-01-2006,2.597
08-01-2006,2.649
09-01-2006,2.531
10-01-2006,2.396
