Year,Gasoline
01-01-1980,88.4
02-01-1980,94.5
03-01-1980,98.0
04-01-1980,99.0
05-01-1980,99.2
06-01-1980,99.4
07-01-1980,99.5
08-01-1980,99.3
09-01-1980,98.5
10-01-1980,97.9
11-01-1980,97.9
12-01-1980,98.6
01-01-1981,101.7
02-01-1981,108.5
03-01-1981,111.1
04-01-1981,110.8
05-01-1981,110.0
06-01-1981,109.5
07-01-1981,109.1
08-01-1981,108.7
09-01-1981,108.6
10-01-1981,108.3
11-01-1981,108.2
12-01-1981,107.9
01-01-1982,107.2
02-01-1982,105.4
03-01-1982,101.4
04-01-1982,96.9
05-01-1982,97.8
06-01-1982,103.6
07-01-1982,105.7
08-01-1982,105.2
09-01-1982,104.1
10-01-1982,103.2
11-01-1982,102.5
12-01-1982,100.7
01-01-1983,98.2
02-01-1983,94.9
03-01-1983,92.1
04-01-1983,97.1
05-01-1983,100.6
06-01-1983,102.0
07-01-1983,102.8
08-01-1983,102.9
09-01-1983,102.2
10-01-1983,101.0
11-01-1983,99.9
12-01-1983,99.1
01-01-1984,97.8
02-01-1984,97.4
03-01-1984,97.4
04-01-1984,98.8
05-01-1984,99.5
06-01-1984,99.0
07-01-1984,97.7
08-01-1984,96.6
09-01-1984,97.1
10-01-1984,97.8
11-01-1984,97.5
12-01-1984,96.6
01-01-1985,94.2
02-01-1985,92.9
03-01-1985,95.1
04-01-1985,98.7
05-01-1985,100.7
06-01-1985,101.6
07-01-1985,101.8
08-01-1985,100.8
09-01-1985,99.7
10-01-1985,98.8
11-01-1985,99.3
12-01-1985,99.5
01-01-1986,98.4
02-01-1986,92.7
03-01-1986,81.3
04-01-1986,73.6
05-01-1986,76.3
06-01-1986,79.0
07-01-1986,73.9
08-01-1986,70.1
09-01-1986,71.5
10-01-1986,69.4
11-01-1986,68.7
12-01-1986,69.0
01-01-1987,72.7
02-01-1987,75.9
03-01-1987,76.4
04-01-1987,78.4
05-01-1987,79.0
06-01-1987,80.7
07-01-1987,82.1
08-01-1987,84.3
09-01-1987,84.0
10-01-1987,83.1
11-01-1987,83.1
12-01-1987,81.8
01-01-1988,79.5
02-01-1988,78.1
03-01-1988,77.3
04-01-1988,79.2
05-01-1988,81.3
06-01-1988,81.3
07-01-1988,82.3
08-01-1988,84.2
09-01-1988,83.1
10-01-1988,81.6
11-01-1988,81.4
12-01-1988,80.3
01-01-1989,79.4
02-01-1989,80.1
03-01-1989,81.3
04-01-1989,92.1
05-01-1989,96.7
06-01-1989,96.2
07-01-1989,94.6
08-01-1989,91.1
09-01-1989,88.8
10-01-1989,88.8
11-01-1989,87.0
12-01-1989,85.5
01-01-1990,90.6
02-01-1990,90.2
03-01-1990,89.1
04-01-1990,91.0
05-01-1990,92.4
06-01-1990,94.6
07-01-1990,94.4
08-01-1990,103.1
09-01-1990,111.8
10-01-1990,118.7
11-01-1990,118.8
12-01-1990,117.0
01-01-1991,108.0
02-01-1991,99.3
03-01-1991,94.2
04-01-1991,95.9
05-01-1991,100.2
06-01-1991,100.6
07-01-1991,98.2
08-01-1991,99.3
09-01-1991,99.8
10-01-1991,98.2
11-01-1991,99.1
12-01-1991,98.1
01-01-1992,94.3
02-01-1992,92.7
03-01-1992,93.2
04-01-1992,94.8
05-01-1992,99.4
06-01-1992,103.0
07-01-1992,102.9
08-01-1992,101.8
09-01-1992,101.8
10-01-1992,101.5
11-01-1992,102.2
12-01-1992,100.1
01-01-1993,98.5
02-01-1993,97.8
03-01-1993,97.1
04-01-1993,98.2
05-01-1993,99.6
06-01-1993,99.6
07-01-1993,98.0
08-01-1993,96.9
09-01-1993,95.9
10-01-1993,99.2
11-01-1993,97.8
12-01-1993,94.2
01-01-1994,92.1
02-01-1994,93.0
03-01-1994,92.7
04-01-1994,94.3
05-01-1994,95.6
06-01-1994,97.9
07-01-1994,100.4
08-01-1994,104.1
09-01-1994,103.6
10-01-1994,101.7
11-01-1994,102.6
12-01-1994,100.2
01-01-1995,98.4
02-01-1995,97.7
03-01-1995,97.2
04-01-1995,99.3
05-01-1995,104.2
06-01-1995,106.3
07-01-1995,103.7
08-01-1995,101.0
09-01-1995,99.7
10-01-1995,98.0
11-01-1995,96.0
12-01-1995,96.0
01-01-1996,98.2
02-01-1996,97.8
03-01-1996,101.1
04-01-1996,108.2
05-01-1996,113.3
06-01-1996,111.0
07-01-1996,108.8
08-01-1996,106.1
09-01-1996,105.7
10-01-1996,105.2
11-01-1996,107.1
12-01-1996,107.9
01-01-1997,107.9
02-01-1997,107.4
03-01-1997,105.8
04-01-1997,105.4
05-01-1997,105.2
06-01-1997,105.4
07-01-1997,103.5
08-01-1997,107.4
09-01-1997,109.2
10-01-1997,106.5
11-01-1997,104.1
12-01-1997,101.3
01-01-1998,97.2
02-01-1998,93.5
03-01-1998,90.3
04-01-1998,91.1
05-01-1998,94.2
06-01-1998,94.3
07-01-1998,93.2
08-01-1998,91.1
09-01-1998,89.5
10-01-1998,90.3
11-01-1998,89.2
12-01-1998,85.7
01-01-1999,84.5
02-01-1999,83.1
03-01-1999,85.8
04-01-1999,100.4
05-01-1999,100.8
06-01-1999,98.6
07-01-1999,101.9
08-01-1999,107.2
09-01-1999,109.7
10-01-1999,109.4
11-01-1999,108.7
12-01-1999,111.5
01-01-2000,111.9
02-01-2000,117.3
03-01-2000,130.9
04-01-2000,127.9
05-01-2000,127.6
06-01-2000,138.3
07-01-2000,135.4
08-01-2000,127.7
09-01-2000,134.3
10-01-2000,132.3
11-01-2000,132.2
12-01-2000,127.0
01-01-2001,125.8
02-01-2001,126.8
03-01-2001,123.3
04-01-2001,132.8
