Year,Malt
01-01-1996,0.823
02-01-1996,0.831
03-01-1996,0.842
04-01-1996,0.833
05-01-1996,0.841
06-01-1996,0.830
07-01-1996,0.838
08-01-1996,0.834
09-01-1996,0.847
10-01-1996,0.835
11-01-1996,0.844
12-01-1996,0.833
01-01-1997,0.854
02-01-1997,0.842
03-01-1997,0.854
04-01-1997,0.847
05-01-1997,0.853
06-01-1997,0.841
07-01-1997,0.847
08-01-1997,0.837
09-01-1997,0.845
10-01-1997,0.831
11-01-1997,0.839
12-01-1997,0.838
01-01-1998,0.887
02-01-1998,0.839
03-01-1998,0.885
04-01-1998,0.838
05-01-1998,0.888
06-01-1998,0.833
07-01-1998,0.882
08-01-1998,0.831
09-01-1998,0.884
10-01-1998,0.837
11-01-1998,0.884
12-01-1998,0.845
01-01-1999,0.890
02-01-1999,0.852
03-01-1999,0.886
04-01-1999,0.855
05-01-1999,0.895
06-01-1999,0.854
07-01-1999,0.899
08-01-1999,0.851
09-01-1999,0.902
10-01-1999,0.858
11-01-1999,0.921
12-01-1999,0.873
01-01-2000,0.924
02-01-2000,0.881
03-01-2000,0.942
04-01-2000,0.888
05-01-2000,0.935
06-01-2000,0.893
07-01-2000,0.946
08-01-2000,0.900
09-01-2000,0.942
10-01-2000,0.898
11-01-2000,0.957
12-01-2000,0.912
01-01-2001,0.959
02-01-2001,0.919
03-01-2001,0.962
04-01-2001,0.920
05-01-2001,0.970
06-01-2001,0.948
07-01-2001,0.957
08-01-2001,0.954
09-01-2001,0.961
10-01-2001,0.961
11-01-2001,0.980
12-01-2001,0.974
01-01-2002,0.987
02-01-2002,0.982
03-01-2002,0.985
04-01-2002,0.997
05-01-2002,1.003
06-01-2002,0.998
07-01-2002,0.988
08-01-2002,0.996
09-01-2002,0.983
10-01-2002,1.004
11-01-2002,0.974
12-01-2002,1.005
01-01-2003,0.982
02-01-2003,1.014
03-01-2003,0.995
04-01-2003,1.023
05-01-2003,0.991
06-01-2003,1.023
07-01-2003,0.994
08-01-2003,1.024
09-01-2003,0.999
10-01-2003,1.032
11-01-2003,1.019
12-01-2003,1.063
01-01-2004,1.023
02-01-2004,1.076
03-01-2004,1.042
04-01-2004,1.093
05-01-2004,1.045
06-01-2004,1.080
07-01-2004,1.042
08-01-2004,1.080
09-01-2004,1.068
10-01-2004,1.081
11-01-2004,1.078
12-01-2004,1.078
01-01-2005,1.074
02-01-2005,1.083
03-01-2005,1.096
04-01-2005,1.086
05-01-2005,1.086
06-01-2005,1.088
07-01-2005,1.077
08-01-2005,1.083
09-01-2005,1.081
10-01-2005,1.092
11-01-2005,1.102
12-01-2005,1.086
01-01-2006,1.106
02-01-2006,1.098
03-01-2006,1.126
04-01-2006,1.112
05-01-2006,1.119
06-01-2006,1.094
07-01-2006,1.154
08-01-2006,1.083
09-01-2006,1.155
10-01-2006,1.094
11-01-2006,1.119
12-01-2006,1.080
01-01-2007,1.134
02-01-2007,1.099
03-01-2007,1.158
04-01-2007,1.110
05-01-2007,1.144
06-01-2007,1.111
07-01-2007,1.133
08-01-2007,1.103
09-01-2007,1.139
10-01-2007,1.111
11-01-2007,1.141
12-01-2007,1.096
01-01-2008,1.157
02-01-2008,1.119
03-01-2008,1.169
04-01-2008,1.124
05-01-2008,1.162
06-01-2008,1.151
07-01-2008,1.177
08-01-2008,1.150
09-01-2008,1.189
10-01-2008,1.171
11-01-2008,1.183
12-01-2008,1.186
01-01-2009,1.189
02-01-2009,1.202
03-01-2009,1.194
04-01-2009,1.194
05-01-2009,1.189
06-01-2009,1.198
07-01-2009,1.197
08-01-2009,1.209
09-01-2009,1.178
10-01-2009,1.235
11-01-2009,1.232
12-01-2009,1.255
01-01-2010,1.231
02-01-2010,1.265
03-01-2010,1.218
04-01-2010,1.249
05-01-2010,1.215
06-01-2010,1.262
07-01-2010,1.182
08-01-2010,1.261
09-01-2010,1.174
10-01-2010,1.270
11-01-2010,1.182
12-01-2010,1.282
01-01-2011,1.183
02-01-2011,1.282
03-01-2011,1.187
04-01-2011,1.296
05-01-2011,1.173
06-01-2011,1.316
07-01-2011,1.182
08-01-2011,1.312
09-01-2011,1.193
10-01-2011,1.334
11-01-2011,1.192
12-01-2011,1.287
01-01-2012,1.207
02-01-2012,1.300
03-01-2012,1.213
04-01-2012,1.287
05-01-2012,1.206
06-01-2012,1.281
07-01-2012,1.195
08-01-2012,1.288
09-01-2012,1.204
10-01-2012,1.295
11-01-2012,1.252
12-01-2012,1.305
01-01-2013,1.259
02-01-2013,1.315
03-01-2013,1.266
04-01-2013,1.317
05-01-2013,1.263
06-01-2013,1.301
07-01-2013,1.237
08-01-2013,1.291
09-01-2013,1.236
10-01-2013,1.310
11-01-2013,1.239
12-01-2013,1.331
01-01-2014,1.254
02-01-2014,1.333
03-01-2014,1.247
04-01-2014,1.331
05-01-2014,1.239
06-01-2014,1.342
07-01-2014,1.191
08-01-2014,1.345
09-01-2014,1.189
10-01-2014,1.336
11-01-2014,1.235
12-01-2014,1.349
01-01-2015,1.295
02-01-2015,1.287
03-01-2015,1.318
04-01-2015,1.315
05-01-2015,1.320
06-01-2015,1.307
07-01-2015,1.306
08-01-2015,1.305
09-01-2015,1.309
10-01-2015,1.340
11-01-2015,1.345
12-01-2015,1.347
01-01-2016,1.356
02-01-2016,1.353
03-01-2016,1.363
04-01-2016,1.365
05-01-2016,1.351
06-01-2016,1.350
07-01-2016,1.347
08-01-2016,1.346
09-01-2016,1.347
10-01-2016,1.355
11-01-2016,1.354
12-01-2016,1.358
01-01-2017,1.363
02-01-2017,1.355
03-01-2017,1.362
04-01-2017,1.372
05-01-2017,1.388
06-01-2017,1.382
07-01-2017,1.382
08-01-2017,1.384
09-01-2017,1.398
10-01-2017,1.418
11-01-2017,1.421
12-01-2017,1.421
01-01-2018,1.412
02-01-2018,1.414
03-01-2018,1.418
04-01-2018,1.419
05-01-2018,1.404
06-01-2018,1.401
07-01-2018,1.390
08-01-2018,1.387
09-01-2018,1.400
10-01-2018,1.425
11-01-2018,1.446
12-01-2018,1.444
01-01-2019,1.450
02-01-2019,1.451
03-01-2019,1.443
04-01-2019,1.439
05-01-2019,1.442
06-01-2019,1.433
07-01-2019,1.437
08-01-2019,1.429
09-01-2019,1.440
10-01-2019,1.437
11-01-2019,1.418
12-01-2019,1.422
01-01-2020,1.439
02-01-2020,1.447
03-01-2020,1.472
04-01-2020,1.502
05-01-2020,1.494
06-01-2020,1.484
07-01-2020,1.487
08-01-2020,1.482
09-01-2020,1.485
10-01-2020,1.492
11-01-2020,1.509
12-01-2020,1.506
01-01-2021,1.494
02-01-2021,1.498
03-01-2021,1.498
04-01-2021,1.490
05-01-2021,1.506
06-01-2021,1.532
07-01-2021,1.540
08-01-2021,1.534
09-01-2021,1.549
10-01-2021,1.551
11-01-2021,1.570
12-01-2021,1.566
01-01-2022,1.580
02-01-2022,1.618
03-01-2022,1.626
04-01-2022,1.619
05-01-2022,1.630
