Year,Prescription
01-01-1980,69.2
02-01-1980,70.1
03-01-1980,70.6
04-01-1980,71.3
05-01-1980,71.9
06-01-1980,72.5
07-01-1980,72.8
08-01-1980,73.2
09-01-1980,73.7
10-01-1980,74.2
11-01-1980,74.7
12-01-1980,75.2
01-01-1981,76.2
02-01-1981,77.2
03-01-1981,78.0
04-01-1981,78.9
05-01-1981,79.8
06-01-1981,80.7
07-01-1981,81.3
08-01-1981,82.1
09-01-1981,82.6
10-01-1981,83.6
11-01-1981,84.1
12-01-1981,84.7
01-01-1982,85.2
02-01-1982,86.0
03-01-1982,87.1
04-01-1982,88.4
05-01-1982,89.1
06-01-1982,89.8
07-01-1982,90.5
08-01-1982,91.6
09-01-1982,92.3
10-01-1982,93.4
11-01-1982,94.1
12-01-1982,94.9
01-01-1983,95.6
02-01-1983,96.4
03-01-1983,97.7
04-01-1983,99.1
05-01-1983,99.7
06-01-1983,100.0
07-01-1983,100.4
08-01-1983,101.0
09-01-1983,101.5
10-01-1983,102.3
11-01-1983,103.4
12-01-1983,104.1
01-01-1984,104.7
02-01-1984,106.0
03-01-1984,106.8
04-01-1984,108.0
05-01-1984,109.1
06-01-1984,109.3
07-01-1984,110.0
08-01-1984,110.8
09-01-1984,111.4
10-01-1984,112.5
11-01-1984,113.4
12-01-1984,114.4
01-01-1985,114.9
02-01-1985,115.9
03-01-1985,117.5
04-01-1985,118.7
05-01-1985,119.2
06-01-1985,120.2
07-01-1985,121.0
08-01-1985,121.5
09-01-1985,122.1
10-01-1985,122.9
11-01-1985,123.5
12-01-1985,123.8
01-01-1986,124.5
02-01-1986,126.4
03-01-1986,127.9
04-01-1986,128.7
05-01-1986,129.4
06-01-1986,130.3
07-01-1986,131.5
08-01-1986,132.0
09-01-1986,132.5
10-01-1986,133.0
11-01-1986,133.9
12-01-1986,134.9
01-01-1987,135.8
02-01-1987,136.6
03-01-1987,137.8
04-01-1987,138.7
05-01-1987,139.8
06-01-1987,140.3
07-01-1987,141.4
08-01-1987,142.1
09-01-1987,143.0
10-01-1987,144.0
11-01-1987,145.0
12-01-1987,145.7
01-01-1988,146.7
02-01-1988,147.8
03-01-1988,148.6
04-01-1988,149.6
05-01-1988,150.9
06-01-1988,151.5
07-01-1988,152.8
08-01-1988,153.3
09-01-1988,154.2
10-01-1988,155.6
11-01-1988,156.1
12-01-1988,157.1
01-01-1989,158.4
02-01-1989,159.0
03-01-1989,160.8
04-01-1989,162.0
