Year,Shelter
01-01-1980,75.9
02-01-1980,76.8
03-01-1980,78.1
04-01-1980,79.4
05-01-1980,80.6
06-01-1980,82.3
07-01-1980,81.3
08-01-1980,81.5
09-01-1980,82.0
10-01-1980,83.5
11-01-1980,84.7
12-01-1980,85.8
01-01-1981,86.3
02-01-1981,86.4
03-01-1981,86.7
04-01-1981,87.3
05-01-1981,88.7
06-01-1981,89.9
07-01-1981,91.6
08-01-1981,92.6
09-01-1981,94.0
10-01-1981,93.9
11-01-1981,94.1
12-01-1981,94.3
01-01-1982,94.4
02-01-1982,94.7
03-01-1982,94.2
04-01-1982,95.3
05-01-1982,96.8
06-01-1982,98.0
07-01-1982,98.6
08-01-1982,99.0
09-01-1982,98.5
10-01-1982,98.6
11-01-1982,98.0
12-01-1982,96.6
01-01-1983,97.3
02-01-1983,97.5
03-01-1983,97.6
04-01-1983,98.2
05-01-1983,98.5
06-01-1983,98.8
07-01-1983,99.3
08-01-1983,99.6
09-01-1983,100.2
10-01-1983,100.6
11-01-1983,100.9
12-01-1983,101.1
01-01-1984,101.5
02-01-1984,101.8
03-01-1984,102.2
04-01-1984,102.9
05-01-1984,103.2
06-01-1984,103.6
07-01-1984,104.3
08-01-1984,104.8
09-01-1984,105.4
10-01-1984,105.7
11-01-1984,106.1
12-01-1984,106.4
01-01-1985,106.7
02-01-1985,107.3
03-01-1985,107.6
04-01-1985,108.1
05-01-1985,109.1
06-01-1985,109.5
07-01-1985,110.2
08-01-1985,110.9
09-01-1985,111.2
10-01-1985,111.9
11-01-1985,112.5
12-01-1985,112.8
01-01-1986,113.2
02-01-1986,113.5
03-01-1986,114.1
04-01-1986,115.0
05-01-1986,115.3
06-01-1986,115.5
07-01-1986,116.0
08-01-1986,116.5
09-01-1986,117.2
10-01-1986,117.7
11-01-1986,117.9
12-01-1986,118.0
01-01-1987,118.5
02-01-1987,119.0
03-01-1987,119.6
04-01-1987,120.2
05-01-1987,120.5
06-01-1987,120.8
07-01-1987,121.3
08-01-1987,122.2
09-01-1987,122.5
10-01-1987,123.2
11-01-1987,123.4
12-01-1987,123.7
01-01-1988,124.6
02-01-1988,125.0
03-01-1988,125.6
04-01-1988,125.8
05-01-1988,126.2
06-01-1988,126.6
07-01-1988,127.4
08-01-1988,128.2
09-01-1988,128.4
10-01-1988,128.8
11-01-1988,129.1
12-01-1988,129.3
01-01-1989,129.8
02-01-1989,130.3
03-01-1989,131.2
04-01-1989,131.2
05-01-1989,131.8
06-01-1989,132.3
07-01-1989,133.6
08-01-1989,134.1
09-01-1989,134.1
10-01-1989,134.8
11-01-1989,135.2
12-01-1989,135.6
01-01-1990,136.3
02-01-1990,136.6
03-01-1990,137.8
04-01-1990,138.0
05-01-1990,138.3
06-01-1990,139.5
07-01-1990,141.1
08-01-1990,142.4
09-01-1990,142.3
10-01-1990,142.4
11-01-1990,142.4
12-01-1990,142.7
01-01-1991,144.0
02-01-1991,144.6
03-01-1991,145.2
04-01-1991,145.2
05-01-1991,145.2
06-01-1991,145.8
07-01-1991,146.8
08-01-1991,147.3
09-01-1991,147.4
10-01-1991,147.7
11-01-1991,147.9
12-01-1991,148.2
01-01-1992,149.2
02-01-1992,149.8
03-01-1992,150.4
04-01-1992,150.2
05-01-1992,150.2
06-01-1992,151.1
07-01-1992,151.8
08-01-1992,152.3
09-01-1992,151.9
10-01-1992,152.5
11-01-1992,152.4
12-01-1992,152.5
01-01-1993,153.7
02-01-1993,154.4
03-01-1993,154.8
04-01-1993,155.0
05-01-1993,154.9
06-01-1993,155.7
07-01-1993,156.3
08-01-1993,156.8
09-01-1993,156.6
10-01-1993,156.8
11-01-1993,156.7
12-01-1993,157.1
01-01-1994,158.1
02-01-1994,159.1
03-01-1994,159.8
04-01-1994,159.6
05-01-1994,159.6
06-01-1994,160.1
07-01-1994,160.8
08-01-1994,161.7
09-01-1994,161.6
10-01-1994,162.0
11-01-1994,162.1
12-01-1994,161.8
01-01-1995,162.9
02-01-1995,163.8
03-01-1995,164.5
04-01-1995,164.7
05-01-1995,164.8
06-01-1995,165.5
07-01-1995,166.4
08-01-1995,166.8
09-01-1995,166.8
10-01-1995,167.3
11-01-1995,167.3
12-01-1995,167.4
01-01-1996,168.6
02-01-1996,169.4
03-01-1996,170.1
04-01-1996,170.1
05-01-1996,170.1
06-01-1996,170.7
07-01-1996,171.9
08-01-1996,172.3
09-01-1996,172.0
10-01-1996,172.5
11-01-1996,172.4
12-01-1996,172.3
01-01-1997,173.6
02-01-1997,174.6
03-01-1997,175.2
04-01-1997,175.3
05-01-1997,175.3
06-01-1997,176.0
07-01-1997,177.0
08-01-1997,177.5
09-01-1997,177.2
10-01-1997,177.8
11-01-1997,177.7
12-01-1997,178.1
01-01-1998,179.2
02-01-1998,180.1
03-01-1998,180.8
04-01-1998,181.0
05-01-1998,181.2
06-01-1998,181.8
07-01-1998,182.6
08-01-1998,183.3
09-01-1998,183.4
10-01-1998,183.9
11-01-1998,184.0
12-01-1998,184.0
01-01-1999,184.7
02-01-1999,185.5
03-01-1999,186.3
04-01-1999,186.6
05-01-1999,186.5
06-01-1999,187.2
07-01-1999,188.0
08-01-1999,188.3
09-01-1999,188.3
10-01-1999,188.5
11-01-1999,188.6
12-01-1999,188.6
01-01-2000,190.1
02-01-2000,191.0
03-01-2000,192.2
04-01-2000,192.3
05-01-2000,192.4
06-01-2000,193.3
07-01-2000,194.1
08-01-2000,194.7
09-01-2000,194.6
10-01-2000,195.2
11-01-2000,195.2
12-01-2000,195.1
01-01-2001,196.4
02-01-2001,197.6
03-01-2001,198.9
04-01-2001,199.2
05-01-2001,199.6
06-01-2001,200.7
07-01-2001,201.4
08-01-2001,202.4
09-01-2001,202.0
10-01-2001,202.4
11-01-2001,202.9
12-01-2001,203.2
01-01-2002,204.5
02-01-2002,206.1
03-01-2002,207.0
04-01-2002,207.5
05-01-2002,207.5
06-01-2002,208.1
07-01-2002,208.8
08-01-2002,209.6
09-01-2002,209.2
10-01-2002,209.7
11-01-2002,209.6
12-01-2002,209.5
01-01-2003,210.9
02-01-2003,211.6
03-01-2003,212.1
04-01-2003,212.1
05-01-2003,212.8
06-01-2003,213.0
07-01-2003,213.8
08-01-2003,214.3
09-01-2003,213.8
10-01-2003,214.7
11-01-2003,214.2
12-01-2003,214.1
01-01-2004,215.2
02-01-2004,216.0
03-01-2004,217.8
04-01-2004,218.4
05-01-2004,218.7
06-01-2004,219.2
07-01-2004,220.0
08-01-2004,220.3
09-01-2004,220.2
10-01-2004,220.6
11-01-2004,219.9
12-01-2004,219.8
01-01-2005,221.0
02-01-2005,222.5
03-01-2005,224.4
04-01-2005,224.4
05-01-2005,224.0
06-01-2005,224.5
07-01-2005,225.6
08-01-2005,225.6
09-01-2005,224.4
10-01-2005,225.7
11-01-2005,225.4
12-01-2005,225.6
01-01-2006,226.8
02-01-2006,228.3
03-01-2006,229.9
04-01-2006,230.7
05-01-2006,231.2
06-01-2006,232.2
07-01-2006,233.6
08-01-2006,234.2
09-01-2006,233.9
10-01-2006,234.8
11-01-2006,234.9
12-01-2006,235.1
01-01-2007,236.504
02-01-2007,237.972
03-01-2007,238.980
04-01-2007,239.735
05-01-2007,239.877
06-01-2007,240.980
07-01-2007,242.067
08-01-2007,242.238
09-01-2007,241.990
10-01-2007,242.405
11-01-2007,242.207
12-01-2007,242.372
01-01-2008,243.871
02-01-2008,244.786
03-01-2008,245.995
04-01-2008,246.004
05-01-2008,246.069
06-01-2008,247.083
07-01-2008,248.075
08-01-2008,247.985
09-01-2008,247.737
10-01-2008,247.844
11-01-2008,247.463
12-01-2008,247.085
01-01-2009,248.292
02-01-2009,248.878
03-01-2009,249.597
04-01-2009,249.855
05-01-2009,249.779
06-01-2009,250.243
07-01-2009,250.310
08-01-2009,250.248
09-01-2009,249.501
10-01-2009,249.474
11-01-2009,248.211
12-01-2009,247.863
01-01-2010,247.950
02-01-2010,248.001
03-01-2010,248.052
04-01-2010,248.031
05-01-2010,248.100
06-01-2010,248.470
07-01-2010,248.677
08-01-2010,248.595
09-01-2010,248.522
10-01-2010,248.646
11-01-2010,248.738
12-01-2010,248.972
01-01-2011,249.462
02-01-2011,249.886
03-01-2011,250.310
04-01-2011,250.447
05-01-2011,250.745
06-01-2011,251.422
07-01-2011,252.155
08-01-2011,252.546
09-01-2011,252.647
10-01-2011,253.101
11-01-2011,253.312
12-01-2011,253.716
01-01-2012,254.409
02-01-2012,254.931
03-01-2012,255.609
04-01-2012,256.031
05-01-2012,256.442
06-01-2012,256.950
07-01-2012,257.409
08-01-2012,257.843
09-01-2012,258.252
10-01-2012,258.829
11-01-2012,258.999
12-01-2012,259.298
01-01-2013,260.039
02-01-2013,260.720
03-01-2013,261.330
04-01-2013,261.655
05-01-2013,262.289
06-01-2013,262.907
07-01-2013,263.451
08-01-2013,264.024
09-01-2013,264.344
10-01-2013,264.719
11-01-2013,265.310
12-01-2013,265.881
01-01-2014,266.754
02-01-2014,267.418
03-01-2014,268.431
04-01-2014,268.899
05-01-2014,269.766
06-01-2014,270.314
07-01-2014,271.115
08-01-2014,271.675
09-01-2014,272.165
10-01-2014,272.788
11-01-2014,273.233
12-01-2014,273.598
01-01-2015,274.589
02-01-2015,275.390
03-01-2015,276.360
04-01-2015,276.978
05-01-2015,277.563
06-01-2015,278.461
07-01-2015,279.559
08-01-2015,280.093
09-01-2015,280.814
10-01-2015,281.499
11-01-2015,281.932
12-01-2015,282.394
01-01-2016,283.498
02-01-2016,284.435
03-01-2016,285.196
04-01-2016,285.836
05-01-2016,286.924
06-01-2016,288.069
07-01-2016,288.780
08-01-2016,289.605
09-01-2016,290.445
10-01-2016,291.407
11-01-2016,291.953
12-01-2016,292.612
01-01-2017,293.560
02-01-2017,294.444
03-01-2017,295.044
04-01-2017,295.706
05-01-2017,296.503
06-01-2017,297.446
07-01-2017,297.919
08-01-2017,299.157
09-01-2017,299.844
10-01-2017,300.846
11-01-2017,301.185
12-01-2017,301.985
01-01-2018,302.928
02-01-2018,303.653
03-01-2018,304.847
04-01-2018,305.716
05-01-2018,306.913
06-01-2018,307.521
07-01-2018,308.393
08-01-2018,309.296
09-01-2018,309.702
10-01-2018,310.382
11-01-2018,310.950
12-01-2018,311.652
01-01-2019,312.696
02-01-2019,313.880
03-01-2019,315.135
04-01-2019,316.263
05-01-2019,317.188
06-01-2019,318.300
07-01-2019,319.136
08-01-2019,319.679
09-01-2019,320.569
10-01-2019,320.762
11-01-2019,321.267
12-01-2019,321.766
01-01-2020,323.053
02-01-2020,324.254
03-01-2020,324.615
04-01-2020,324.522
05-01-2020,325.265
06-01-2020,325.814
07-01-2020,326.580
08-01-2020,326.997
09-01-2020,327.116
10-01-2020,327.273
11-01-2020,327.435
12-01-2020,327.702
01-01-2021,328.282
02-01-2021,329.005
03-01-2021,330.122
04-01-2021,331.354
05-01-2021,332.454
06-01-2021,334.222
07-01-2021,335.812
08-01-2021,336.284
09-01-2021,337.451
10-01-2021,338.671
11-01-2021,339.997
12-01-2021,341.241
01-01-2022,342.604
02-01-2022,344.607
03-01-2022,346.618
04-01-2022,348.389
05-01-2022,350.580
