Year,Sugar
01-01-1980,0.273
02-01-1980,0.301
03-01-1980,0.355
04-01-1980,0.368
05-01-1980,0.380
06-01-1980,0.430
07-01-1980,0.465
08-01-1980,0.462
09-01-1980,0.477
10-01-1980,0.503
11-01-1980,0.550
12-01-1980,0.565
01-01-1981,0.538
02-01-1981,0.523
03-01-1981,0.491
04-01-1981,0.446
05-01-1981,0.395
06-01-1981,0.369
07-01-1981,0.355
08-01-1981,0.351
09-01-1981,0.346
10-01-1981,0.335
11-01-1981,0.327
12-01-1981,0.325
01-01-1982,0.327
02-01-1982,0.339
03-01-1982,0.343
04-01-1982,0.338
05-01-1982,0.335
06-01-1982,0.341
07-01-1982,0.348
08-01-1982,0.352
09-01-1982,0.356
10-01-1982,0.355
11-01-1982,0.355
12-01-1982,0.352
01-01-1983,0.360
02-01-1983,0.355
03-01-1983,0.357
04-01-1983,0.358
05-01-1983,0.355
06-01-1983,0.359
07-01-1983,0.365
08-01-1983,0.365
09-01-1983,0.365
10-01-1983,0.365
11-01-1983,0.367
12-01-1983,0.370
01-01-1984,0.364
02-01-1984,0.364
03-01-1984,0.366
04-01-1984,0.366
05-01-1984,0.367
06-01-1984,0.365
07-01-1984,0.358
08-01-1984,0.358
09-01-1984,0.364
10-01-1984,0.365
11-01-1984,0.362
12-01-1984,0.360
01-01-1985,0.359
02-01-1985,0.360
03-01-1985,0.358
04-01-1985,0.356
05-01-1985,0.354
06-01-1985,0.346
07-01-1985,0.352
08-01-1985,0.354
09-01-1985,0.354
10-01-1985,0.351
11-01-1985,0.350
12-01-1985,0.347
01-01-1986,0.352
02-01-1986,0.353
03-01-1986,0.354
04-01-1986,0.354
05-01-1986,0.355
06-01-1986,0.353
07-01-1986,0.348
08-01-1986,0.348
09-01-1986,0.349
10-01-1986,0.347
11-01-1986,0.349
12-01-1986,0.348
01-01-1987,0.352
02-01-1987,0.349
03-01-1987,0.349
04-01-1987,0.345
05-01-1987,0.353
06-01-1987,0.351
07-01-1987,0.349
08-01-1987,0.355
09-01-1987,0.359
10-01-1987,0.359
11-01-1987,0.357
12-01-1987,0.356
01-01-1988,0.358
02-01-1988,0.357
03-01-1988,0.357
04-01-1988,0.355
05-01-1988,0.356
06-01-1988,0.357
07-01-1988,0.361
08-01-1988,0.370
09-01-1988,0.376
10-01-1988,0.380
11-01-1988,0.381
12-01-1988,0.384
01-01-1989,0.389
02-01-1989,0.392
03-01-1989,0.399
04-01-1989,0.399
05-01-1989,0.399
06-01-1989,0.398
07-01-1989,0.402
08-01-1989,0.403
09-01-1989,0.405
10-01-1989,0.407
11-01-1989,0.404
12-01-1989,0.406
01-01-1990,0.418
02-01-1990,0.419
03-01-1990,0.427
04-01-1990,0.428
05-01-1990,0.430
06-01-1990,0.427
07-01-1990,0.427
08-01-1990,0.433
09-01-1990,0.434
10-01-1990,0.432
11-01-1990,0.429
12-01-1990,0.429
01-01-1991,0.434
02-01-1991,0.430
03-01-1991,0.434
04-01-1991,0.433
05-01-1991,0.431
06-01-1991,0.432
07-01-1991,0.435
08-01-1991,0.428
09-01-1991,0.422
10-01-1991,0.420
11-01-1991,0.419
12-01-1991,0.418
01-01-1992,0.425
02-01-1992,0.424
03-01-1992,0.419
04-01-1992,0.417
05-01-1992,0.417
06-01-1992,0.415
07-01-1992,0.416
08-01-1992,0.411
09-01-1992,0.410
10-01-1992,0.412
11-01-1992,0.412
12-01-1992,0.406
01-01-1993,0.412
02-01-1993,0.410
03-01-1993,0.406
04-01-1993,0.408
05-01-1993,0.408
06-01-1993,0.403
07-01-1993,0.402
08-01-1993,0.406
09-01-1993,0.404
10-01-1993,0.405
11-01-1993,0.403
12-01-1993,0.398
01-01-1994,0.407
02-01-1994,0.405
03-01-1994,0.401
04-01-1994,0.399
05-01-1994,0.401
06-01-1994,0.397
07-01-1994,0.400
08-01-1994,0.397
09-01-1994,0.403
10-01-1994,0.402
11-01-1994,0.395
12-01-1994,0.392
01-01-1995,0.397
02-01-1995,0.399
03-01-1995,0.398
04-01-1995,0.394
05-01-1995,0.397
06-01-1995,0.395
07-01-1995,0.397
08-01-1995,0.396
09-01-1995,0.398
10-01-1995,0.404
11-01-1995,0.407
12-01-1995,0.398
01-01-1996,0.405
02-01-1996,0.403
03-01-1996,0.406
04-01-1996,0.404
05-01-1996,0.415
06-01-1996,0.418
07-01-1996,0.424
08-01-1996,0.428
09-01-1996,0.426
10-01-1996,0.432
11-01-1996,0.426
12-01-1996,0.428
01-01-1997,0.434
02-01-1997,0.429
03-01-1997,0.431
04-01-1997,0.435
05-01-1997,0.434
06-01-1997,0.436
07-01-1997,0.433
08-01-1997,0.436
09-01-1997,0.436
10-01-1997,0.430
11-01-1997,0.429
12-01-1997,0.428
01-01-1998,0.430
02-01-1998,0.429
03-01-1998,0.433
04-01-1998,0.431
05-01-1998,0.428
06-01-1998,0.431
07-01-1998,0.432
