Year,Utility
01-01-2000,100.3
02-01-2000,102.4
03-01-2000,101.8
04-01-2000,101.8
05-01-2000,102.7
06-01-2000,107.7
07-01-2000,109.1
08-01-2000,108.9
09-01-2000,110.5
10-01-2000,109.0
11-01-2000,108.2
12-01-2000,110.1
01-01-2001,116.7
02-01-2001,115.7
03-01-2001,114.5
04-01-2001,113.6
05-01-2001,115.1
06-01-2001,119.4
07-01-2001,119.2
08-01-2001,117.9
09-01-2001,116.6
10-01-2001,111.9
11-01-2001,110.7
12-01-2001,109.9
01-01-2002,109.4
02-01-2002,107.9
03-01-2002,108.0
04-01-2002,108.3
05-01-2002,109.2
06-01-2002,113.3
07-01-2002,113.6
08-01-2002,113.6
09-01-2002,113.7
10-01-2002,111.1
11-01-2002,110.4
12-01-2002,110.9
01-01-2003,112.7
02-01-2003,114.8
03-01-2003,120.2
04-01-2003,118.8
05-01-2003,119.4
06-01-2003,124.2
07-01-2003,124.5
08-01-2003,124.5
09-01-2003,124.9
10-01-2003,120.8
11-01-2003,119.1
12-01-2003,119.7
01-01-2004,122.1
02-01-2004,122.5
03-01-2004,120.9
04-01-2004,121.2
05-01-2004,123.1
06-01-2004,129.4
07-01-2004,130.2
08-01-2004,131.0
09-01-2004,130.5
10-01-2004,126.9
11-01-2004,128.3
12-01-2004,128.4
01-01-2005,129.3
02-01-2005,128.8
03-01-2005,128.9
04-01-2005,131.2
05-01-2005,133.1
06-01-2005,138.2
07-01-2005,139.7
08-01-2005,140.8
09-01-2005,144.1
10-01-2005,144.0
11-01-2005,144.8
12-01-2005,143.2
01-01-2006,148.1
02-01-2006,144.4
03-01-2006,142.2
04-01-2006,141.1
05-01-2006,141.9
06-01-2006,146.7
07-01-2006,147.3
08-01-2006,147.7
09-01-2006,148.0
10-01-2006,141.2
11-01-2006,141.3
12-01-2006,142.8
01-01-2007,143.887
02-01-2007,144.163
03-01-2007,145.427
04-01-2007,145.406
05-01-2007,147.070
06-01-2007,152.925
07-01-2007,153.001
08-01-2007,152.056
09-01-2007,152.000
10-01-2007,149.098
11-01-2007,149.724
12-01-2007,150.342
01-01-2008,151.620
02-01-2008,152.591
03-01-2008,155.319
04-01-2008,158.477
05-01-2008,163.085
06-01-2008,171.402
07-01-2008,176.331
08-01-2008,175.182
09-01-2008,170.963
10-01-2008,165.890
11-01-2008,161.942
12-01-2008,161.108
01-01-2009,160.639
02-01-2009,158.717
03-01-2009,155.873
04-01-2009,152.681
05-01-2009,151.822
06-01-2009,156.198
07-01-2009,156.415
08-01-2009,156.031
09-01-2009,155.421
10-01-2009,152.973
11-01-2009,154.058
12-01-2009,153.898
01-01-2010,156.292
02-01-2010,155.816
03-01-2010,156.639
04-01-2010,155.817
05-01-2010,156.410
06-01-2010,160.235
07-01-2010,161.481
08-01-2010,161.426
09-01-2010,160.235
10-01-2010,156.801
11-01-2010,155.320
