Year,Actual,Predicted
2011-08-01,0.002757589,0.0003460824
2011-09-01,0.0015184624,0.0004521657
2011-10-01,-0.002062683,0.001225504
2011-11-01,-0.00084356114,0.0025366412
2011-12-01,-0.0024665156,0.0037220474
2012-01-01,0.0044001914,0.004241951
2012-02-01,0.0044029737,0.004017809
2012-03-01,0.007594558,0.0035172298
2012-04-01,0.0030210302,0.0028354584
2012-05-01,-0.0011734796,0.002029732
2012-06-01,-0.001466397,0.0011690515
2012-07-01,-0.0016297854,0.00036792364
2012-08-01,0.0055651586,-0.000118847674
2012-09-01,0.0044622123,-0.00014825478
2012-10-01,-0.00038892525,0.0005422963
2012-11-01,-0.004738087,0.0016415755
2012-12-01,-0.002693064,0.0026210253
2013-01-01,0.0029573035,0.0031667268
2013-02-01,0.008190028,0.0033653493
2013-03-01,0.0026145086,0.003290154
2013-04-01,-0.0010396385,0.0028907794
2013-05-01,0.0017804075,0.002281946
2013-06-01,0.0023997072,0.0016281791
2013-07-01,0.00039399846,0.00107646
2013-08-01,0.0012029315,0.0007167007
2013-09-01,0.001163004,0.0006139366
2013-10-01,-0.0025752822,0.000932465
2013-11-01,-0.0020424237,0.001495978
2013-12-01,-8.581095e-05,0.0021953066
2014-01-01,0.0037202486,0.002730598
2014-02-01,0.003697908,0.0030809215
2014-03-01,0.006440044,0.0031058034
2014-04-01,0.003296755,0.0028240758
2014-05-01,0.0034926098,0.0022594223
2014-06-01,0.001862127,0.001601906
2014-07-01,-0.00039019308,0.00091188605
2014-08-01,-0.0016705133,0.00042784677
2014-09-01,0.00075256854,0.00019477397
2014-10-01,-0.0025122773,0.0005456697
2014-11-01,-0.005399418,0.0014349534
2014-12-01,-0.0056701014,0.0025607208
2015-01-01,-0.0047058924,0.0034537183
2015-02-01,0.004343045,0.00380559
2015-03-01,0.005951722,0.0038125706
2015-04-01,0.0020328737,0.0034302184
2015-05-01,0.0050972328,0.0027177832
2015-06-01,0.0035028704,0.0018349619
2015-07-01,6.7047695e-05,0.00092274684
2015-08-01,-0.0014162762,7.87406e-05
2015-09-01,-0.0015567556,-0.00060560775
2015-10-01,-0.00044968424,-0.0011005115
2015-11-01,-0.0021106813,-0.0010561934
2015-12-01,-0.0034170968,0.00012259134
2016-01-01,0.001653102,0.0022625637
2016-02-01,0.00082307565,0.00404181
2016-03-01,0.004306001,0.0045493064
2016-04-01,0.0047410675,0.0041989847
2016-05-01,0.004045791,0.0034062958
2016-06-01,0.0032843666,0.0024413252
2016-07-01,-0.0016181355,0.0014606898
2016-08-01,0.0009184309,0.0005544342
2016-09-01,0.002403997,-0.0001591567
2016-10-01,0.0012467486,-0.0005097644
2016-11-01,-0.0015554617,-0.00035917966
2016-12-01,0.00032732103,0.0005613849
2017-01-01,0.005827728,0.0021160126
2017-02-01,0.003146118,0.00351513
2017-03-01,0.00081279833,0.004015047
2017-04-01,0.0029655332,0.0037753677
2017-05-01,0.0008547211,0.003139633
2017-06-01,0.00090711017,0.0023376206
2017-07-01,-0.0006899227,0.0015815907
2017-08-01,0.0029944524,0.0009975249
2017-09-01,0.0052949055,0.00083743327
2017-10-01,-0.0006320416,0.0010590375
2017-11-01,2.4324541e-05,0.0014234718
2017-12-01,-0.00058783183,0.0019388406
2018-01-01,0.0054477453,0.0023513834
2018-02-01,0.0045346906,0.0026185683
2018-03-01,0.0022611257,0.0026752881
2018-04-01,0.0039750915,0.002510286
2018-05-01,0.004158917,0.0022247904
2018-06-01,0.0015938764,0.0018492803
2018-07-01,6.7462825e-05,0.0014427026
2018-08-01,0.0005555431,0.0012052878
2018-09-01,0.0011620261,0.0011637539
2018-10-01,0.0017667642,0.0015000376
2018-11-01,-0.003349348,0.0021088973
2018-12-01,-0.0031939629,0.002662718
2019-01-01,0.0019065967,0.002991666
2019-02-01,0.004227053,0.0030538891
2019-03-01,0.005641358,0.0029790981
2019-04-01,0.0052950005,0.002736165
2019-05-01,0.0021287582,0.0022958268
2019-06-01,0.00019914782,0.0016684226
2019-07-01,0.0016709415,0.0010198262
2019-08-01,-5.066865e-05,0.00055800023
2019-09-01,0.00078344916,0.00026361496
2019-10-01,0.0022861909,0.00033114137
2019-11-01,-0.0005362432,0.0010221356
2019-12-01,-0.0009097692,0.00206856
2020-01-01,0.00387977,0.0030229413
2020-02-01,0.0027406174,0.0035097536
2020-03-01,-0.0021764517,0.003511575
2020-04-01,-0.0066869413,0.0031174961
2020-05-01,1.9501895e-05,0.0024612646
2020-06-01,0.0054720473,0.0019275122
2020-07-01,0.0050582443,0.0016127948
2020-08-01,0.0031532107,0.001532448
2020-09-01,0.0013927463,0.0014622344
2020-10-01,0.00041493837,0.0013177438
2020-11-01,-0.00061062677,0.0011724343
2020-12-01,0.0009414783,0.0010700816
2021-01-01,0.004253784,0.0010963752
2021-02-01,0.005474383,0.0013868915
2021-03-01,0.0070832735,0.001905024
2021-04-01,0.008218909,0.0024180217
2021-05-01,0.008017105,0.0026692948
2021-06-01,0.009290662,0.0024806543
2021-07-01,0.0048105237,0.0020430072
2021-08-01,0.0020659105,0.0015071342
2021-09-01,0.002715971,0.0009829336
2021-10-01,0.008308117,0.00071466615
2021-11-01,0.0049134265,0.0010511593
2021-12-01,0.003072518,0.0019415127
2022-01-01,0.008414575,0.00301856
2022-02-01,0.009133981,0.003866293
2022-03-01,0.013351379,0.0040656636
2022-04-01,0.0055825305,0.0038020352
2022-05-01,0.011023523,0.0031549367
