Year,Actual,Predicted
2015-03-01,0.005951722,-0.0014670515
2015-04-01,0.0020328737,-0.0013943022
2015-05-01,0.0050972328,-0.001242644
2015-06-01,0.0035028704,-0.0011260123
2015-07-01,6.7047695e-05,-0.0010865205
2015-08-01,-0.0014162762,-0.001106458
2015-09-01,-0.0015567556,-0.0011446166
2015-10-01,-0.00044968424,-0.0011517206
2015-11-01,-0.0021106813,-0.0011183997
2015-12-01,-0.0034170968,-0.0011144989
2016-01-01,0.001653102,-0.0012175043
2016-02-01,0.00082307565,-0.0013860014
2016-03-01,0.004306001,-0.0015209626
2016-04-01,0.0047410675,-0.0015249064
2016-05-01,0.004045791,-0.0013688481
2016-06-01,0.0032843666,-0.0011222461
2016-07-01,-0.0016181355,-0.00090055406
2016-08-01,0.0009184309,-0.00081447384
2016-09-01,0.002403997,-0.00086263486
2016-10-01,0.0012467486,-0.00096056506
2016-11-01,-0.0015554617,-0.0010302251
2016-12-01,0.00032732103,-0.0010780382
2017-01-01,0.005827728,-0.00111851
2017-02-01,0.003146118,-0.0010995878
2017-03-01,0.00081279833,-0.0009964796
2017-04-01,0.0029655332,-0.0008686468
2017-05-01,0.0008547211,-0.0007613031
2017-06-01,0.00090711017,-0.00068933
2017-07-01,-0.0006899227,-0.0006561848
2017-08-01,0.0029944524,-0.00067013287
2017-09-01,0.0052949055,-0.0007257214
2017-10-01,-0.0006320416,-0.00078399706
2017-11-01,2.4324541e-05,-0.0008420091
2017-12-01,-0.00058783183,-0.00091576064
2018-01-01,0.0054477453,-0.00097496755
2018-02-01,0.0045346906,-0.00092941883
2018-03-01,0.0022611257,-0.00075881794
2018-04-01,0.0039750915,-0.000569566
2018-05-01,0.004158917,-0.00047723448
2018-06-01,0.0015938764,-0.0005020078
2018-07-01,6.7462825e-05,-0.0005872222
2018-08-01,0.0005555431,-0.0006740635
2018-09-01,0.0011620261,-0.0007044094
2018-10-01,0.0017667642,-0.0006678833
2018-11-01,-0.003349348,-0.0006014527
2018-12-01,-0.0031939629,-0.00059802877
2019-01-01,0.0019065967,-0.00071539544
2019-02-01,0.004227053,-0.0008725513
2019-03-01,0.005641358,-0.0009525466
2019-04-01,0.0052950005,-0.0009119459
2019-05-01,0.0021287582,-0.00079924293
2019-06-01,0.00019914782,-0.0007036371
2019-07-01,0.0016709415,-0.0006842717
2019-08-01,-5.066865e-05,-0.00071160874
2019-09-01,0.00078344916,-0.0007241301
2019-10-01,0.0022861909,-0.00069932494
2019-11-01,-0.0005362432,-0.0006737363
2019-12-01,-0.0009097692,-0.00071290275
2020-01-01,0.00387977,-0.0008443615
2020-02-01,0.0027406174,-0.0009769142
2020-03-01,-0.0021764517,-0.0010146651
2020-04-01,-0.0066869413,-0.0009689593
2020-05-01,1.9501895e-05,-0.00092914584
2020-06-01,0.0054720473,-0.00092201756
2020-07-01,0.0050582443,-0.0008966776
2020-08-01,0.0031532107,-0.0008614792
2020-09-01,0.0013927463,-0.0008914211
2020-10-01,0.00041493837,-0.001018375
2020-11-01,-0.00061062677,-0.0011769877
2020-12-01,0.0009414783,-0.0012455799
2021-01-01,0.004253784,-0.0011397883
2021-02-01,0.005474383,-0.000883412
2021-03-01,0.0070832735,-0.0006138562
2021-04-01,0.008218909,-0.00048390092
2021-05-01,0.008017105,-0.0005338627
2021-06-01,0.009290662,-0.0006507881
2021-07-01,0.0048105237,-0.00065713475
2021-08-01,0.0020659105,-0.0004818402
2021-09-01,0.002715971,-0.00018858064
2021-10-01,0.008308117,0.00010185153
2021-11-01,0.0049134265,0.00032096312
2021-12-01,0.003072518,0.00040841778
2022-01-01,0.008414575,0.00032353433
2022-02-01,0.009133981,0.00014631936
2022-03-01,0.013351379,4.636585e-05
2022-04-01,0.0055825305,0.0001621449
2022-05-01,0.011023523,0.00044912886
